Date,Exchange_Rate,Inflation_YoY
2014-03-31,3993.935483870968,4.98
2014-04-30,4005.766666666667,4.94
2014-05-31,4032.064516129032,4.55
2014-06-30,4050.4333333333334,4.85
2014-07-31,4055.0,4.26
2014-08-31,4063.9032258064517,4.11
2014-09-30,4079.6666666666665,3.58
2014-10-31,4083.548387096774,2.9
2014-11-30,4065.1666666666665,2.36
2014-12-31,4062.7419354838707,1.07
2015-01-31,4066.1935483870966,0.41
2015-02-28,4050.1428571428573,1.57
2015-03-31,4021.2903225806454,1.12
2015-04-30,4033.9333333333334,1.27
2015-05-31,4078.935483870968,1.02
2015-06-30,4091.4666666666667,0.7
2015-07-31,4101.129032258064,0.8
2015-08-31,4106.225806451613,0.8
2015-09-30,4097.0,0.94
2015-10-31,4071.2258064516127,1.28
2015-11-30,4044.9333333333334,1.92
2015-12-31,4052.064516129032,2.85
2016-01-31,4046.2258064516127,3.05
2016-02-29,4025.7586206896553,2.31
2016-03-31,4004.2258064516127,2.03
2016-04-30,4031.7,2.8
2016-05-31,4070.8387096774195,3.09
2016-06-30,4084.8333333333335,3.25
2016-07-31,4090.7096774193546,3.04
2016-08-31,4099.903225806452,2.93
2016-09-30,4097.966666666666,2.89
2016-10-31,4077.8709677419356,3.35
2016-11-30,4034.4,3.61
2016-12-31,4042.3870967741937,3.87
2017-01-31,4045.451612903226,4.42
2017-02-28,4023.035714285714,4.04
2017-03-31,4000.516129032258,4.24
2017-04-30,4018.0333333333333,3.21
2017-05-31,4051.8064516129034,2.65
2017-06-30,4083.5333333333333,2.34
2017-07-31,4093.548387096774,2.32
2017-08-31,4093.2580645161293,2.6
2017-09-30,4063.5666666666666,2.66
2017-10-31,4054.967741935484,2.1
2017-11-30,4041.133333333333,2.25
2017-12-31,4041.2903225806454,2.23
2018-01-31,4028.9032258064517,2.0
2018-02-28,4021.4285714285716,2.3
2018-03-31,4008.451612903226,2.33
2018-04-30,4025.233333333333,2.38
2018-05-31,4065.4193548387098,2.86
2018-06-30,4072.1,2.94
2018-07-31,4062.7741935483873,2.33
2018-08-31,4075.032258064516,2.58
2018-09-30,4094.366666666667,2.57
2018-10-31,4079.516129032258,3.07
2018-11-30,4048.633333333333,2.52
2018-12-31,4034.5806451612902,1.63
2019-01-31,4020.7741935483873,1.54
2019-02-28,4017.8214285714284,2.01
2019-03-31,4014.032258064516,2.24
2019-04-30,4036.8333333333335,2.07
2019-05-31,4061.8387096774195,1.98
2019-06-30,4075.5333333333333,1.44
2019-07-31,4082.7741935483873,2.17
2019-08-31,4087.3225806451615,2.06
2019-09-30,4101.966666666666,1.69
2019-10-31,4083.8064516129034,1.27
2019-11-30,4073.766666666667,1.76
2019-12-31,4080.1290322580644,3.07
2020-01-31,4091.451612903226,3.58
2020-02-29,4092.689655172414,2.65
2020-03-31,4070.0967741935483,2.84
2020-04-30,4086.9,1.91
2020-05-31,4117.677419354839,2.37
2020-06-30,4100.1,3.22
2020-07-31,4103.645161290323,3.13
2020-08-31,4105.548387096775,2.4
2020-09-30,4108.966666666666,2.86
2020-10-31,4104.548387096775,3.73
2020-11-30,4072.5,3.7
2020-12-31,4062.2258064516127,2.88
2021-01-31,4074.2903225806454,2.6
2021-02-28,4087.6071428571427,1.73
2021-03-31,4073.8709677419356,2.08
2021-04-30,4072.866666666667,2.74
2021-05-31,4098.709677419355,2.99
2021-06-30,4107.0,2.74
2021-07-31,4109.4838709677415,3.33
2021-08-31,4119.387096774193,3.4
2021-09-30,4122.1,2.96
2021-10-31,4108.774193548387,2.95
2021-11-30,4103.7,3.79
2021-12-31,4111.612903225807,3.7
2022-01-31,4105.419354838709,4.08
2022-02-28,4092.964285714286,6.33
2022-03-31,4066.064516129032,7.19
2022-04-30,4070.0333333333333,7.25
2022-05-31,4092.548387096774,7.17
2022-06-30,4092.266666666667,7.85
2022-07-31,4098.258064516129,5.38
2022-08-31,4103.387096774193,4.94
2022-09-30,4116.166666666667,4.44
2022-10-31,4134.419354838709,3.64
2022-11-30,4139.0,3.21
2022-12-31,4116.8387096774195,2.86
2023-01-31,4115.677419354839,2.96
2023-02-28,4081.285714285714,2.2
2023-03-31,4056.7096774193546,0.7
2023-04-30,4074.8,1.07
2023-05-31,4117.741935483871,0.48
2023-06-30,4124.366666666667,0.07
2023-07-31,4129.419354838709,1.88
2023-08-31,4141.580645161291,3.24
2023-09-30,4130.633333333333,3.75
2023-10-31,4131.451612903225,3.89
2023-11-30,4120.6,2.69
2023-12-31,4106.032258064516,2.72
